utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1454171403,2016-01-30 10:30,2,13.0 to 16.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,11.0 to 16.0
1454172304,2016-01-30 10:45,3,13.0 to 16.0,Mostly Cloudy,37.3333333333 to 42.1666666667,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,16.0 to 21.0
1454173201,2016-01-30 11:00,3,16.0 to 19.0,Overcast,37.3333333333 to 42.1666666667,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,16.0 to 21.0
1454174102,2016-01-30 11:15,2,13.0 to 16.0,Overcast,37.3333333333 to 42.1666666667,1,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,16.0 to 21.0
1454175003,2016-01-30 11:30,2,16.0 to 19.0,Overcast,37.3333333333 to 42.1666666667,1,1.0 to 5.16666666667,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,21.0 to 26.0
1454175904,2016-01-30 11:45,3,13.0 to 16.0,Overcast,37.3333333333 to 42.1666666667,1,9.33333333333 to 13.5,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,21.0 to 26.0
1454245201,2016-01-31 07:00,3,16.0 to 19.0,Overcast,37.3333333333 to 42.1666666667,0,21.8333333333 to 26.0,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,21.0 to 26.0
1454246102,2016-01-31 07:15,3,1.0 to 4.0,Overcast,37.3333333333 to 42.1666666667,0,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,26.0 to 31.0,21.0 to 26.0
1454247003,2016-01-31 07:30,3,10.0 to 13.0,Overcast,42.1666666667 to 47.0,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,16.0 to 21.0,26.0 to 31.0
1454247904,2016-01-31 07:45,2,4.0 to 7.0,Overcast,42.1666666667 to 47.0,0,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,6.0 to 11.0,21.0 to 26.0
1454248801,2016-01-31 08:00,2,1.0 to 4.0,Overcast,42.1666666667 to 47.0,0,21.8333333333 to 26.0,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,6.0 to 11.0
1454249702,2016-01-31 08:15,3,1.0 to 4.0,Overcast,42.1666666667 to 47.0,0,17.6666666667 to 21.8333333333,1.0 to 1.15,6.5 to 8.0,26.0 to 31.0,26.0 to 31.0
1454250603,2016-01-31 08:30,3,13.0 to 16.0,Overcast,42.1666666667 to 47.0,0,17.6666666667 to 21.8333333333,1.0 to 1.15,5.0 to 6.5,16.0 to 21.0,16.0 to 21.0
1454251504,2016-01-31 08:45,3,1.0 to 4.0,Overcast,42.1666666667 to 47.0,0,9.33333333333 to 13.5,1.0 to 1.15,5.0 to 6.5,21.0 to 26.0,1.0 to 6.0
